4:4000
6500000,235,4,4,#199
2070990,113,2,2,#200
6135990,231,4,4,#201
2295000,89,1,2,#202
1590000,238,5,4,#203
6695000,208,3,4,#204
394900,98,2,1,#205
1099000,271,4,4,#206
4650000,231,2,3,#207
839900,281,5,3,#208
275000,37,0,1,#209
599000,111,3,2,#210
568888,148,4,2,#211
1149000,196,7,2,#212
1150000,69,2,1,#213
275000,46,0,1,#214
818800,222,3,2,#215
549998,137,3,1,#216
1060000,74,1,1,#217
379900,97,2,2,#218
1500000,204,6,3,#219
569000,55,0,1,#220
569000,158,3,2,#221
1000000,102,2,2,#222
619000,153,3,2,#223
599000,137,3,2,#224
1988000,241,7,5,#225
599000,79,2,2,#226
878000,232,5,2,#227
275000,69,0,1,#228
349900,74,1,1,#229
219000,171,7,2,#230
5995000,274,3,4,#231
719000,118,3,3,#232
945000,67,1,1,#233
3150000,153,3,3,#234
5650000,231,4,4,#235
9950000,417,5,6,#236
899000,208,4,3,#237
649000,204,2,1,#238
565000,157,6,2,#239
659000,193,4,3,#240
549900,89,3,1,#241
899000,195,2,2,#242
748000,118,3,2,#243
669000,190,3,2,#244
8650000,269,4,4,#245
525000,109,3,1,#246
7135000,343,5,6,#247
4375000,191,3,3,#248
290000,74,1,1,#249
5880000,302,4,5,#250
3450000,172,3,3,#251
2860000,130,2,2,#252
3225000,126,2,2,#253
2550000,138,2,3,#254
399000,106,2,2,#255
299000,67,1,1,#256
2727000,156,2,2,#257
998000,135,4,1,#258
425000,97,2,2,#259
1125000,260,6,4,#260
1995000,112,2,2,#261
1388000,157,3,2,#262
1725000,72,1,1,#263
1360000,57,0,1,#264
668000,83,2,2,#265
676000,61,1,1,#266
3400000,165,3,3,#267
278000,130,4,2,#268
919000,111,2,2,#269
1080000,193,5,2,#270
381000,83,2,1,#271
381000,83,2,1,#272
275000,69,0,1,#273
659900,209,3,2,#274
868000,288,6,5,#275
1799000,297,7,4,#276
1199000,241,6,3,#277
699000,175,3,2,#278
729000,349,5,2,#279
599000,185,5,2,#280
769000,222,3,2,#281
529000,120,3,1,#282
549888,128,3,1,#283
249888,69,1,1,#284
4495000,334,4,4,#285
399000,118,3,2,#286
529000,162,3,2,#287
550000,72,1,1,#288
475000,65,1,1,#289
425000,92,2,1,#290
869000,180,6,3,#291
549000,125,3,2,#292
559000,175,2,2,#293
899999,185,3,3,#294
799000,232,8,3,#295
3150000,813,18,12,#296
362782,99,2,1,#297
524999,105,3,2,#298
7775000,189,3,3,#299
465000,104,3,1,#300
365000,126,3,1,#301
968000,253,5,2,#302
549000,130,3,2,#303
369900,115,2,1,#304
679000,147,3,2,#305
699000,46,0,1,#306
715000,66,1,1,#307
795000,93,1,1,#308
1740000,194,3,2,#309
409000,67,1,1,#310
475000,227,5,3,#311
1325000,140,2,2,#312
588000,102,3,1,#313
1250000,114,3,2,#314
2180000,245,7,5,#315
1150000,102,2,2,#316
460000,69,1,1,#317
568000,68,2,2,#318
1049000,61,0,1,#319
679000,107,3,1,#320
1349000,120,1,1,#321
899000,174,5,2,#322
1370000,101,2,2,#323
1350000,100,2,2,#324
895000,61,1,1,#325
885000,62,1,1,#326
439000,103,3,1,#327
399000,88,2,1,#328
619000,107,3,1,#329
175000,56,1,1,#330
369000,179,6,3,#331
349000,89,2,1,#332
1650000,242,7,4,#333
359000,111,2,2,#334
949000,167,3,1,#335
599888,162,3,3,#336
1095000,185,3,3,#337
715000,79,2,2,#338
1780000,301,7,5,#339
14650000,386,5,4,#340
3295000,185,3,3,#341
4875000,171,3,3,#342
825000,53,0,1,#343
133900,83,2,1,#344
533000,219,4,2,#345
728000,114,3,2,#346
548000,185,2,1,#347
579000,106,3,2,#348
840000,105,3,2,#349
1049999,279,6,5,#350
668000,96,2,2,#351
950000,153,4,2,#352
2000000,110,2,2,#353
479000,51,0,1,#354
589000,79,4,2,#355
425000,74,1,1,#356
469000,65,1,1,#357
1950000,256,7,6,#358
899000,78,2,1,#359
479000,53,1,1,#360
1500000,294,7,6,#361
4350000,546,10,5,#362
4850000,191,3,3,#363
579000,113,4,1,#364
584000,66,1,1,#365
1749000,169,3,3,#366
5850000,503,4,4,#367
165000,78,2,1,#368
975000,178,4,2,#369
8200000,189,3,4,#370
4495000,250,4,5,#371
875000,88,1,1,#372
450000,104,3,2,#373
975000,325,6,4,#374
1599000,200,4,3,#375
1665000,137,3,3,#376
879000,80,2,2,#377
1050000,74,1,1,#378
925000,71,1,1,#379
1325000,106,1,2,#380
785000,163,5,4,#381
440000,68,1,1,#382
650000,195,2,1,#383
